"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"TB1","Terminal_Block_3.5mm_x_12","16970mil","12838.827mil","16970mil","13703mil","16970mil","13596.701mil","T","270.00","SparkIO Terminal Block 1"
"U3","SOT23-3L","18230mil","11753mil","18230mil","11753mil","18267.402mil","11796.307mil","T","270.00","Header 3"
"R19","0603_-_NO_SILK","18340mil","12293mil","18340mil","12293mil","18340mil","12326mil","T","270.00","Resistor"
"R18","0603_-_NO_SILK","18790mil","11573mil","18790mil","11573mil","18823mil","11573mil","T","180.00","Resistor"
"R17","0603_-_NO_SILK","17356.926mil","11636.777mil","17356.926mil","11636.777mil","17323.926mil","11636.777mil","T","360.00","Resistor"
"R4","0603_-_NO_SILK","17356.929mil","11829.675mil","17356.929mil","11829.675mil","17323.929mil","11829.675mil","T","360.00","Resistor"
"R15","0603_-_NO_SILK","18790mil","11933mil","18790mil","11933mil","18823mil","11933mil","T","180.00","Resistor"
"R14","0603_-_NO_SILK","18970mil","11673mil","18970mil","11673mil","18970mil","11706mil","T","270.00","Resistor"
"R9","0603_-_NO_SILK","18550mil","11673mil","18550mil","11673mil","18550mil","11706mil","T","270.00","Resistor"
"R12","0603_-_NO_SILK","18390mil","11673mil","18390mil","11673mil","18390mil","11706mil","T","270.00","Resistor"
"R11","0603_-_NO_SILK","18970mil","11833mil","18970mil","11833mil","18970mil","11800mil","T","90.00","Resistor"
"R10","0603_-_NO_SILK","18650mil","11933mil","18650mil","11933mil","18617mil","11933mil","T","360.00","Resistor"
"R13","0603_-_NO_SILK","18650mil","11573mil","18650mil","11573mil","18617mil","11573mil","T","360.00","Resistor"
"R8","0603_-_NO_SILK","17874.25mil","11573.003mil","17874.25mil","11573.003mil","17907.25mil","11573.003mil","T","180.00","Resistor"
"R7","0603_-_NO_SILK","17874.25mil","11933.003mil","17874.25mil","11933.003mil","17907.25mil","11933.003mil","T","180.00","Resistor"
"R6","0603_-_NO_SILK","18054.25mil","11673.003mil","18054.25mil","11673.003mil","18054.25mil","11706.003mil","T","270.00","Resistor"
"R5","0603_-_NO_SILK","17634.25mil","11673.003mil","17634.25mil","11673.003mil","17634.25mil","11706.003mil","T","270.00","Resistor"
"R16","0603_-_NO_SILK","17474.25mil","11673.003mil","17474.25mil","11673.003mil","17474.25mil","11706.003mil","T","270.00","Resistor"
"R3","0603_-_NO_SILK","18054.25mil","11833.003mil","18054.25mil","11833.003mil","18054.25mil","11800.003mil","T","90.00","Resistor"
"R2","0603_-_NO_SILK","17734.25mil","11933.003mil","17734.25mil","11933.003mil","17701.25mil","11933.003mil","T","360.00","Resistor"
"R1","0603_-_NO_SILK","17734.25mil","11573.003mil","17734.25mil","11573.003mil","17701.25mil","11573.003mil","T","360.00","Resistor"
"H2","HDR1X12","18240mil","13003mil","18240mil","13553mil","18240mil","13553mil","T","270.00","SparkIO Header 2"
